bfs_number,rooms,area,price,postalcode,address,town,description_raw,bfs_name,pop,pop_dens,frg_pct,emp,tax_income,lat,lon,x,y,latitude,longitude,distance_to_hospital
261,2.5,45,2520,8004,8004 Zürich, Zürich,"«MÖBLIERT, TEMPORÄR: 2½ ZI-WOHNUNG IN ZÜRICH - KREIS 4 HARD»",Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.377140045166016,8.515775680541992,247925.203125,681344.9375,47.3744489,8.5410422,821.2456099148582
261,2.5,48,3360,8004,8004 Zürich, Zürich,«MÖBLIERT: 2½ ZI-WOHNUNG IN ZÜRICH - KREIS 4»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.377140045166016,8.515775680541992,247925.203125,681344.9375,47.3744489,8.5410422,821.2456099148582
261,2.5,50,2900,8004,8004 Zürich, Zürich,«Mitten im In-Quartier von Zürich»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.377140045166016,8.515775680541992,247925.203125,681344.9375,47.3744489,8.5410422,821.2456099148582
261,1.0,10,1499,8004,8004 Zürich, Zürich,"«Studio, Zürich Zentrum, unbefristet»",Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.377140045166016,8.515775680541992,247925.203125,681344.9375,47.3744489,8.5410422,821.2456099148582
261,2.5,73,3460,8041,8041 Zürich, Zürich,"«EXTRAVAGANT, MODERN, DIREKT AN DER SIHL!»",Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.32240295410156,8.51379680633545,241838.015625,681278.9375,47.3744489,8.5410422,821.2456099148582
261,2.0,58,1825,8047,"Letzigraben 236, 8047 Zürich", Zürich,«Ihre neues Zuhause in Zürich!»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.37076568603516,8.492475509643555,247192.890625,679595.0,47.3707874,8.492474112140744,609.2604137907805
261,4.5,170,6600,8005,"Limmatstrasse 260, 8005 Zürich", Zürich,«Exklusiv! Grosszügig! Wohngenuss pur!»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.38913345336914,8.52584171295166,249269.078125,682086.625,47.3891196,8.525807637096419,1109.4126407408974
261,3.5,146,5550,8005,"Limmatstrasse 260, 8005 Zürich", Zürich,"«Exklusive, lichtdurchflutete 3.5-Zimmerwohnung mitten in Zürich»",Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.38913345336914,8.52584171295166,249269.078125,682086.625,47.3891196,8.525807637096419,1109.4126407408974
261,2.0,46,1475,8050,"Güetliweg 5, 8050 Zürich", Zürich,"«An zentraler, ruhiger Lage, gepflegte Umgebung im Grünen»",Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.41283798217773,8.53046989440918,251909.375,682399.375,47.4128185,8.530450706945455,1010.2231600225883
261,1.5,35,1740,8037,"Lehenstrasse 51, 8037 Zürich", Zürich,"«1.5-Zimmer-Wohnung an ruhiger, zentraler Lage»",Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.39653015136719,8.523354530334473,250088.859375,681887.4375,47.3965326,8.523371245510827,304.5329906722707
261,2.5,65,5900,8037,"Rosengartenstrasse 55, 8037 Zürich", Zürich,«Serviced 1-bedroom with great view and luxurious interior design»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.3958854675293,8.529154777526855,250023.078125,682326.3125,47.39586895,8.52916275991669,717.2038530866621
261,2.5,75,6900,8037,"Rosengartenstrasse 55, 8037 Zürich", Zürich,"«""Serviced 1-bedroom apartment: spectacular view & luxurious interior»",Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.3958854675293,8.529154777526855,250023.078125,682326.3125,47.39586895,8.52916275991669,717.2038530866621
261,3.5,81,3673,8037,"Kleinertstrasse 2, 8037 Zürich", Zürich,«Individuelle 3.5 EG Wohnung»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.39432907104492,8.523425102233887,249844.328125,681896.1875,47.394342050000006,8.523426600000004,505.32009758145335
261,1.0,26,1500,8037,"Nordstrasse 166, 8037 Zürich", Zürich,«Urbanes Wohngefühl sucht neuen Mieter»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.391727447509766,8.532544136047363,249564.59375,682588.625,47.3917397,8.532540046415589,1177.0216730832838
261,1.0,26,1520,8037,"Nordstrasse 166, 8037 Zürich", Zürich,«Urbanes Wohngefühl sucht neuen Mieter»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.391727447509766,8.532544136047363,249564.59375,682588.625,47.3917397,8.532540046415589,1177.0216730832838
261,1.0,27,1171,8037,"Nürenbergstrasse 23, 8037 Zürich", Zürich,«Tolle Wohnung mit Balkon - ideal für Singles!»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.39301681518555,8.533440589904785,249708.90625,682654.25,47.39303065,8.533426345253847,1148.9439928096763
261,2.5,73,2870,8037,"Wibichstrasse 33, 8037 Zürich", Zürich,«Umfassend sanierte Duplex Dachwohnung»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.39711380004883,8.529072761535645,250159.765625,682318.25,47.3970956,8.52906905,668.4114144112668
261,2.0,53,2525,8008,"Seefeldstrasse, 8008 Zürich", Zürich,«Appartement Zürich - 2 pièces»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.36523818969727,8.548137664794922,246635.984375,683807.5,47.35247303077975,8.559519262997174,889.4478464044159
261,2.5,75,6900,8008,"Zollikerstrasse 227, 8008 Zürich", Zürich,«2.5 Zimmerwohnung mit Seesicht und Garten»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.348854064941406,8.565671920776367,244833.859375,685158.0,47.3488775,8.565708452102804,588.9850315103383
261,2.5,101,4800,8008,8008 Zürich, Zürich,"«MODERN, HELL, SMART-HOME, GESICHERTE UMGEBUNG»",Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.354148864746094,8.560637474060059,245416.75,684769.1875,47.3744489,8.5410422,821.2456099148582
261,1.0,36,1655,8008,"Nebelbachstrasse 5, 8008 Zürich", Zürich,«Moderne Wohnung im Seefeld in unmittelbarer Nähe zum Zürichsee»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.35296249389648,8.558126449584961,245282.1875,684581.375,47.3529598,8.558115946801962,996.3146620948972
261,1.5,37,1875,8008,"Südstrasse 3, 8008 Zürich", Zürich,"«Klein, aber fein: Die perfekte Wohnung für Singles im beliebten Seefeld»",Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.355262756347656,8.561944961547852,245542.234375,684866.25,47.3552724,8.561952949068935,766.5624822485233
261,2.5,70,2990,8008,"Zollikerstrasse 164, 8008 Zürich", Zürich,«Hier wohnen Sie im ersten Monat gratis!»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.35410690307617,8.561359405517578,245412.75,684823.8125,47.3541168,8.5614229,764.9801548633848
261,2.0,70,1625,8049,8049 Zürich, Zürich,"«MÖBLIERT, TEMPORÄR: 2 ZI-WOHNUNG IN ZÜRICH - KREIS 10 HÖNGG»",Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.4071159362793,8.494709968566895,251235.96875,679709.25,47.3744489,8.5410422,821.2456099148582
261,3.5,114,4100,8057,"Hofwiesenstrasse 165, 8057 Zürich", Zürich,«Wohnung im Eigentumsstandard»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.40107727050781,8.533770561218262,250605.234375,682666.625,47.401105,8.533752381913736,1049.685364290721
261,1.5,30,2550,8057,8057 Zürich, Zürich,«Mitten im Universitätsquartier von Zürich»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.40449523925781,8.5419921875,250993.71875,683281.9375,47.3744489,8.5410422,821.2456099148582
261,8.5,210,8500,8002,8002 Zürich, Zürich,"«""BEFRISTET"" HEIMATSTIL VILLA IM ENGE QUARTIER»",Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.36441040039063,8.53575611114502,246530.90625,682873.5625,47.3744489,8.5410422,821.2456099148582
261,2.5,89,3900,8002,8002 Zürich, Zürich,«Urbanes Wohnen im Zentrum der Stadt»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.36441040039063,8.53575611114502,246530.90625,682873.5625,47.3744489,8.5410422,821.2456099148582
261,2.5,90,3130,8044,"Freudenbergstrasse, 8044 Zürich", Zürich,«Exklusive Gartenwohnung im ruhigen Zürichberg-Quartier»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.37955474853516,8.559854507446289,248240.3125,684669.6875,47.38347885560805,8.556889654185827,299.0471139993864
261,1.5,63,2980,8044,"Keltenstrasse 12, 8044 Zürich", Zürich,«Neubau Dachwohnung in Zürich Fluntern»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.37654876708984,8.561196327209473,247907.46875,684775.8125,47.3764916,8.561134851774732,553.7919087478251
261,3.5,78,2970,8044,"Susenbergstrasse 142, 8044 Zürich", Zürich,«Ein einmaliges Wohnerlebnis auf dem Zürichberg wartet auf Sie!»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.384761810302734,8.55949878692627,248818.953125,684634.5625,47.38480305,8.559527153076749,467.9756580234568
261,3.0,100,4200,8044,"Fritz-Fleiner-Weg, 8044 Zürich", Zürich,«Appartement Zürich - 3 pièces»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.381935119628906,8.560834884643555,248506.125,684739.9375,47.38174903228204,8.560906256830954,276.22251499945344
261,2.5,100,3585,8044,"Neuhausstrasse 11, 8044 Zürich", Zürich,«Wohnen am Zürichberg»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.37740707397461,8.564168930053711,248006.421875,684998.875,47.37744025000001,8.564158852123388,627.1642054082057
261,6.5,250,7200,8044,"Schlössliweg 9, 8044 Zürich", Zürich,«Exklusives Wohnen am Züriberg mit Blick über die Stadt & den Zürisee»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.38334655761719,8.558879852294922,248660.734375,684590.0625,47.38335685,8.55884519506109,299.2043278737043
261,2.5,64,2560,8032,"Forchstrasse 150, 8032 Zürich", Zürich,«2.5-Zimmer-Loft Wohnung an Top Lage zu vermieten!»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.360294342041016,8.564233779907227,246104.0,685031.125,47.36032,8.564201625820157,1014.0094006854425
261,7.0,180,6300,8032,8032 Zürich, Zürich,"«ELEGANTES WOHNEN AM ZÜRICHBERG, MIT CHEMINÉE»",Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.37275695800781,8.551040649414062,247475.015625,684014.875,47.3744489,8.5410422,821.2456099148582
261,4.5,126,4000,8032,"Hammerstrasse 54b, 8032 Zürich", Zürich,«Zentral gelegene Wohnung im Grünen»,Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.36020278930664,8.562192916870117,246091.390625,684877.125,47.3602469,8.5621652,1096.6986132320533
261,4.5,146,5900,8032,8032 Zürich, Zürich,"«ZENTRAL UND GROSSZÜGIG, MIT HERRLICHER AUSSICHT»",Zürich,420217,4778.9946548391,32.4584678868,491193.0,85446,47.37275695800781,8.551040649414062,247475.015625,684014.875,47.3744489,8.5410422,821.2456099148582
